[13, 22, 2, 33, 28, 1, 3, 25, 24, 11, 45, 17, 6, 27, 29, 42, 16, 26, 18, 36, 5, 35, 43, 30, 37, 8, 7, 0, 39, 10, 20, 38, 31, 23, 44, 34, 9, 41, 47, 4, 40, 15, 21, 14, 32, 19, 46, 12] => 42755.19
[19, 20, 31, 41, 1, 28, 40, 33, 4, 47, 13, 22, 10, 27, 5, 26, 16, 42, 25, 3, 34, 44, 9, 23, 38, 24, 12, 46, 32, 35, 45, 14, 11, 39, 2, 21, 15, 0, 7, 8, 37, 30, 43, 17, 6, 36, 18, 29] => 50253.93
[17, 43, 30, 37, 2, 33, 4, 47, 34, 44, 23, 31, 38, 10, 11, 8, 7, 0, 39, 14, 45, 5, 36, 18, 26, 16, 42, 29, 21, 15, 40, 41, 9, 25, 3, 1, 28, 24, 13, 22, 12, 20, 46, 19, 32, 35, 27, 6] => 46742.37
[24, 13, 33, 2, 22, 10, 11, 32, 14, 39, 8, 7, 0, 21, 15, 40, 1, 25, 3, 34, 44, 28, 4, 46, 19, 29, 18, 36, 5, 35, 45, 37, 30, 43, 17, 6, 27, 26, 16, 42, 31, 23, 9, 41, 47, 38, 20, 12] => 45916.73
[19, 29, 18, 36, 5, 27, 6, 17, 43, 30, 35, 26, 16, 42, 10, 22, 33, 13, 12, 24, 47, 4, 28, 41, 31, 38, 2, 21, 15, 0, 8, 39, 14, 11, 32, 45, 37, 7, 40, 1, 25, 3, 34, 44, 9, 23, 20, 46] => 45968.27
[13, 12, 20, 38, 24, 33, 2, 15, 40, 28, 41, 9, 34, 44, 23, 31, 19, 29, 5, 27, 35, 32, 14, 39, 21, 0, 7, 8, 37, 36, 18, 26, 16, 42, 25, 3, 1, 4, 47, 17, 6, 43, 30, 45, 11, 46, 10, 22] => 54008.66
[17, 6, 35, 27, 5, 36, 18, 26, 16, 42, 29, 19, 46, 44, 34, 3, 25, 1, 28, 40, 15, 33, 4, 47, 41, 9, 23, 31, 38, 20, 12, 24, 13, 39, 8, 37, 7, 0, 21, 2, 22, 10, 11, 14, 32, 45, 30, 43] => 41411.02
[20, 19, 5, 36, 27, 6, 17, 45, 14, 11, 10, 22, 13, 24, 47, 4, 28, 33, 2, 21, 15, 0, 7, 37, 8, 39, 12, 31, 23, 44, 34, 9, 46, 32, 35, 18, 26, 16, 42, 29, 43, 30, 40, 1, 3, 25, 41, 38] => 50632.4
[28, 40, 33, 4, 47, 13, 22, 10, 14, 39, 8, 0, 2, 44, 34, 3, 25, 1, 15, 21, 7, 37, 35, 36, 18, 16, 42, 46, 12, 24, 38, 31, 20, 19, 29, 26, 5, 27, 6, 17, 43, 30, 45, 32, 11, 23, 9, 41] => 52925.47
[14, 11, 10, 22, 38, 47, 4, 28, 33, 13, 24, 12, 20, 31, 23, 44, 34, 9, 46, 19, 42, 16, 26, 29, 35, 32, 41, 25, 3, 1, 40, 15, 21, 2, 39, 8, 0, 7, 37, 30, 43, 36, 18, 5, 27, 6, 17, 45] => 47994.3
[10, 11, 32, 27, 29, 5, 36, 18, 26, 16, 42, 46, 12, 13, 22, 39, 8, 7, 0, 15, 21, 2, 40, 33, 24, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 31, 38, 20, 19, 35, 6, 17, 43, 30, 37, 45, 14] => 39625.92
[47, 9, 34, 44, 23, 31, 38, 20, 10, 11, 32, 45, 17, 27, 5, 18, 36, 6, 43, 30, 37, 8, 7, 0, 2, 22, 41, 25, 3, 1, 28, 4, 33, 40, 15, 21, 39, 14, 35, 26, 16, 42, 29, 19, 46, 12, 13, 24] => 44246.45
[10, 11, 14, 37, 8, 2, 33, 4, 47, 41, 23, 31, 38, 20, 32, 35, 27, 6, 17, 43, 30, 7, 0, 21, 15, 40, 9, 44, 34, 3, 25, 1, 28, 39, 45, 29, 42, 16, 26, 18, 36, 5, 19, 46, 12, 24, 13, 22] => 46011.93
[9, 41, 47, 4, 28, 33, 40, 15, 2, 22, 13, 24, 12, 10, 11, 32, 35, 6, 17, 43, 30, 37, 8, 7, 0, 21, 39, 14, 19, 46, 20, 34, 44, 42, 16, 26, 18, 36, 5, 29, 27, 45, 1, 3, 25, 38, 31, 23] => 52288.57
[24, 38, 23, 44, 34, 9, 31, 20, 46, 11, 14, 39, 0, 8, 37, 30, 45, 43, 17, 6, 35, 27, 5, 26, 16, 42, 32, 10, 22, 33, 40, 2, 21, 15, 7, 36, 18, 29, 19, 47, 4, 41, 25, 3, 1, 28, 13, 12] => 47166.33
[6, 36, 18, 5, 27, 8, 0, 2, 22, 10, 11, 32, 35, 17, 43, 30, 45, 19, 46, 20, 23, 44, 34, 3, 25, 9, 41, 1, 28, 12, 42, 16, 26, 29, 14, 39, 21, 15, 33, 13, 24, 38, 31, 47, 4, 40, 7, 37] => 49744.46
[33, 40, 15, 7, 6, 27, 36, 18, 5, 31, 23, 47, 4, 39, 14, 10, 12, 9, 44, 34, 1, 28, 38, 20, 42, 16, 26, 29, 19, 46, 41, 25, 3, 11, 32, 45, 35, 17, 43, 30, 37, 8, 0, 21, 2, 22, 24, 13] => 61103.8
[6, 27, 29, 5, 36, 18, 26, 16, 42, 37, 7, 0, 39, 20, 31, 38, 24, 12, 46, 11, 14, 45, 43, 17, 35, 32, 19, 23, 9, 44, 34, 3, 25, 41, 1, 28, 33, 2, 10, 22, 13, 47, 4, 40, 15, 21, 8, 30] => 45341.1
[31, 20, 46, 11, 14, 10, 22, 13, 47, 4, 33, 40, 15, 21, 0, 7, 17, 6, 27, 29, 42, 16, 26, 18, 36, 5, 35, 2, 28, 1, 41, 25, 3, 34, 44, 9, 23, 19, 32, 45, 43, 30, 37, 8, 39, 12, 24, 38] => 44699.39
